lowest,highest,proj_date,projected_balance,bills
false,false,2025-09-08,-3712.18,"[{""id"":""87332526-478b-4167-9c47-274b640e9cfc"",""name"":""AT&T"",""note"":"""",""owner"":""Both"",""amount"":-80.72,""category"":""utilities"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-07"",""repeats_every"":1},{""id"":""43c04621-24b3-45cd-8ac2-90ac7a0d1f37"",""name"":""Homebody Renters"",""note"":"""",""owner"":""Both"",""amount"":-19.21,""category"":""insurance"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-07"",""repeats_every"":1},{""id"":""e46463cd-cfa6-45d8-b127-c5c97b785987"",""name"":""Oura"",""note"":"""",""owner"":""Jenny"",""amount"":-6.39,""category"":""fitness"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-07"",""repeats_every"":1},{""id"":""2c25bac0-083d-46ad-bb6c-d03aa6e5375b"",""name"":""Spark Mail"",""note"":"""",""owner"":""Brady"",""amount"":-7.99,""category"":""subscription"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-08"",""repeats_every"":1},{""id"":""8e2b9187-8904-4485-ae85-6cb4ac87a8f0"",""name"":""Google Storage - JE"",""note"":""Multiple charges? Switch to shared and/or yearly subscription?"",""owner"":""Jenny"",""amount"":-6.18,""category"":""subscription"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-08"",""repeats_every"":1}]"
false,false,2025-08-12,-3954.67,[]
false,false,2025-08-16,1489.15,[]
false,false,2025-08-20,-1545.99,"[{""id"":""71e0213d-aff1-43c6-a842-71118b00d029"",""name"":""CrossFit Central"",""note"":"""",""owner"":""Brady"",""amount"":-2640.64,""category"":""fitness"",""end_date"":null,""frequency"":""yearly"",""start_date"":""2025-08-20"",""repeats_every"":1},{""id"":""9329249f-fd65-4579-b2fb-4f61758f964b"",""name"":""New Vision Counseling"",""note"":"""",""owner"":""Both"",""amount"":-100,""category"":""counseling"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-07"",""repeats_every"":1}]"
false,false,2025-08-24,-2434.92,[]
false,false,2025-06-26,4016.43,"[{""id"":""64562358-34ed-410f-b1ea-cce2466d626f"",""name"":""Factor"",""note"":"""",""owner"":""Both"",""amount"":-88.93,""category"":""food & drinks"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-22"",""repeats_every"":1}]"
false,false,2025-07-08,-3494.17,"[{""id"":""2c25bac0-083d-46ad-bb6c-d03aa6e5375b"",""name"":""Spark Mail"",""note"":"""",""owner"":""Brady"",""amount"":-7.99,""category"":""subscription"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-08"",""repeats_every"":1},{""id"":""8e2b9187-8904-4485-ae85-6cb4ac87a8f0"",""name"":""Google Storage - JE"",""note"":""Multiple charges? Switch to shared and/or yearly subscription?"",""owner"":""Jenny"",""amount"":-6.18,""category"":""subscription"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-08"",""repeats_every"":1}]"
false,false,2025-07-12,-5070.53,[]
false,false,2025-07-16,1240.58,"[{""id"":""d0a5c21a-7734-46e6-a09f-0d9543fe162c"",""name"":""Hulu"",""note"":"""",""owner"":""Both"",""amount"":-21.64,""category"":""subscription"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-16"",""repeats_every"":1},{""id"":""9329249f-fd65-4579-b2fb-4f61758f964b"",""name"":""New Vision Counseling"",""note"":"""",""owner"":""Both"",""amount"":-100,""category"":""counseling"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-07"",""repeats_every"":1}]"
false,false,2025-07-20,1049.34,[]
false,false,2025-07-24,734.46,"[{""id"":""64562358-34ed-410f-b1ea-cce2466d626f"",""name"":""Factor"",""note"":"""",""owner"":""Both"",""amount"":-88.93,""category"":""food & drinks"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-22"",""repeats_every"":1}]"
false,false,2025-07-28,-2166.93,"[{""id"":""5cede898-eebf-4c48-aad1-05c552694311"",""name"":""Baremi"",""note"":"""",""owner"":""Both"",""amount"":-40.92,""category"":""other"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-27"",""repeats_every"":1},{""id"":""9b1697be-62cb-4bfd-ac7f-03ae46ae6c61"",""name"":""Bird"",""note"":"""",""owner"":""Brady"",""amount"":-2.15,""category"":""subscription"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-27"",""repeats_every"":1},{""id"":""4be1158f-fc7a-4c32-925e-de493eecf668"",""name"":""FIT Radio"",""note"":"""",""owner"":""Jenny"",""amount"":-8.65,""category"":""fitness"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-04-28"",""repeats_every"":1},{""id"":""df3f8bac-afaa-490d-91a5-77ea909dfbd4"",""name"":""Max"",""note"":"""",""owner"":""Both"",""amount"":-18.39,""category"":""subscription"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-04-28"",""repeats_every"":1},{""id"":""9fbf952b-adbe-4cb8-a7b2-4e5a20939d4f"",""name"":""Uber One"",""note"":"""",""owner"":""Jenny"",""amount"":-10,""category"":""subscription"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-27"",""repeats_every"":1}]"
false,false,2025-08-01,3295.95,"[{""id"":""d78db493-960d-4cc6-84fb-916809b82e65"",""name"":""Clash of Clans"",""note"":""Not a subscription, I just get it every month"",""owner"":""Jenny"",""amount"":-7.57,""category"":""games"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-01"",""repeats_every"":1},{""id"":""58868730-9e23-4c64-a593-ea43efb77649"",""name"":""Food & Drinks"",""note"":"""",""owner"":""Both"",""amount"":-800,""category"":""food & drinks"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-23"",""repeats_every"":1},{""id"":""2914b654-44af-4122-b2ef-b3b2423c0e1d"",""name"":""Verizon"",""note"":"""",""owner"":""Jenny"",""amount"":-69.68,""category"":""mobile phone"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-01"",""repeats_every"":1}]"
false,false,2025-08-09,-3337.4,[]
false,false,2025-08-17,1489.15,[]
false,false,2025-09-05,-3591.69,"[{""id"":""58868730-9e23-4c64-a593-ea43efb77649"",""name"":""Food & Drinks"",""note"":"""",""owner"":""Both"",""amount"":-800,""category"":""food & drinks"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-23"",""repeats_every"":1},{""id"":""b6660a28-5897-409a-8627-e2c9a3d8faab"",""name"":""Gilbert's Gazelles"",""note"":"""",""owner"":""Jenny"",""amount"":-80,""category"":""fitness"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-05"",""repeats_every"":1},{""id"":""55e9d9fb-e73b-413c-8247-5b0cd4b4edab"",""name"":""Lyft Pink"",""note"":"""",""owner"":""Brady"",""amount"":-9.99,""category"":""subscription"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-05"",""repeats_every"":1},{""id"":""11284150-0095-4548-87b6-5eaf77ac2112"",""name"":""AAA"",""note"":"""",""owner"":""Both"",""amount"":-5,""category"":""auto"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-05"",""repeats_every"":1}]"
false,false,2025-06-01,14348.09,[]
false,false,2025-06-03,7413.25,[]
false,false,2025-06-07,6424.32,[]
false,false,2025-06-11,6203.77,"[{""id"":""9329249f-fd65-4579-b2fb-4f61758f964b"",""name"":""New Vision Counseling"",""note"":"""",""owner"":""Both"",""amount"":-100,""category"":""counseling"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-07"",""repeats_every"":1}]"
false,false,2025-06-15,5314.84,[]
false,false,2025-06-19,5214.84,[]
false,false,2025-06-23,4205.36,"[{""id"":""e31a4c58-c69f-4a1b-9db0-32ab1ca4c2bf"",""name"":""Alma"",""note"":"""",""owner"":""Jenny"",""amount"":-120.55,""category"":""counseling"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-06-09"",""repeats_every"":2}]"
false,false,2025-06-27,3216.43,"[{""id"":""58868730-9e23-4c64-a593-ea43efb77649"",""name"":""Food & Drinks"",""note"":"""",""owner"":""Both"",""amount"":-800,""category"":""food & drinks"",""end_date"":null,""frequency"":""weekly"",""start_date"":""2025-05-23"",""repeats_every"":1}]"
false,false,2025-07-01,3139.18,"[{""id"":""d78db493-960d-4cc6-84fb-916809b82e65"",""name"":""Clash of Clans"",""note"":""Not a subscription, I just get it every month"",""owner"":""Jenny"",""amount"":-7.57,""category"":""games"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-01"",""repeats_every"":1},{""id"":""2914b654-44af-4122-b2ef-b3b2423c0e1d"",""name"":""Verizon"",""note"":"""",""owner"":""Jenny"",""amount"":-69.68,""category"":""mobile phone"",""end_date"":null,""frequency"":""monthly"",""start_date"":""2025-05-01"",""repeats_every"":1}]"
false,false,2025-07-05,-2304.49,[]
